gastvrouw	'xAst-frA+w
doorgangshoogte	'dor-GANs-hox-t@
gemeentebegroting	x@-'men-t@-b@-Gro-tIN
nieuwsgaarder	'niws-xar-d@r
kostenregeling	'kOs-t@-re-G@-lIN
sneeuwlaag	'snew-lax
ladenkast	'la-d@-kAst
vervolgklas	v@r-'vOlx-klAs
teuterigheid	't2-t@-r@x-hE+t
concurrentenmarkt	kON-kY-'rEn-t@-mArkt
stengelgroente	'stE-N@l-Grun-t@
pied-&agrave;-terre	pje-a-'tE:r
koetong	'ku-tON
rechtshistorie	'rExts-his-to-ri
volksbond	'vOlgz-bOnt
theemuts	'te-mYts
bewassing	b@-'wA-sIN
onteigeningswet	Ont-'E+-G@-nINs-wEt
ordelijkheid	'Or-d@-l@k-hE+t
procedureregel	pro-s@-'dy-r@-re-G@l
vizierkeep	vi-'zir-kep
turfaarde	'tYrf-ar-d@
denktraditie	'dENk-tra-di-tsi
dirkjespeer	'dIrk-j@s-per
schilploeg	'sxIl-plux
vervoersstroom	v@r-'vurs-trom
boevenkop	'bu-v@N-kOp
kalklaag	'kAlk-lax
vijftigplusser	'vE+f-t@x-plY-s@r
voedselproductie	'vut-s@l-pro-dYk-si
piekeraar	'pi-k@-rar
zegekar	'ze-G@-kAr
startnota	'stArt-no-ta
commune	kO-'my-n@
bosbewoner	'bOz-b@-wo-n@r
cellenbarak	'sE-l@-ba-rAk
chocoladetaart	So-ko-'la-d@-tart
vredesgroepering	'vre-d@-sxru-pe-rIN
psychanalist	psi-xa-na-'lIst
linkerpompbak	'lIN-k@r-pOm-bAk
reisgelegenheid	'rE+s-x@-le-G@-hE+t
wolkenflard	'wOl-k@-flArt
stamhotel	'stAm-ho-tEl
stouwage	stA+-'wa-Z@
rijksrekening	'rE+ks-re-k@-nIN
permeatie	pEr-me-'ja-tsi
regeringstekst	r@-'Ge-rINs-tEkst
koers-winstverhouding	'kurs-'wIns-tf@r-hA+-dIN
emailleeroven	e-mA-'jer-o-v@
copula	'ko-py-la
volksvergadering	'vOlks-f@r-Ga-d@-rIN
mirliton	mIr-li-'tOn
poolkap	'pol-kAp
schofterigheid	'sxOf-t@-r@x-hE+t
spiegelingsmeetkunde	'spi-G@-lINs-met-kYn-d@
vrijdagmiddag	vrE+-dAx-'mI-dAx
vrijmachtigheid	vrE+-'mAx-t@x-hE+t
eierstok	'E+-j@r-stOk
programmamuziek	pro-'GrA-ma-my-zik
vakzoldering	'vAk-sOl-d@-rIN
wereldbol	'we-r@ld-bOl
facetnota	fa-'sEt-no-ta
lobvoet	'lOp-fut
cultuurambtenaar	kYl-'ty-rAm-t@-nar
twaalfduizend	'twalv-dY+-z@nt
mirtenstruik	'mIr-t@-strY+k
verpleging	v@r-'ple-GIN
oud-leiding	A+d-'lE+-dIN
putsteen	'pYt-sten
aanzuiging	'an-zY+-GIN
tovermachine	'to-v@r-mA-Si-n@
rekenwonder	're-k@n-wOn-d@r
verdoemeling	v@r-'du-m@-lIN
normalisatie	nOr-ma-li-'za-tsi
serafsveder	'se-rAfs-fe-d@r
kettingvanger	'kE-tIN-vA-N@r
typometrie	ti-po-me-'tri
listweg	'lIst-wEx
contactstoornis	kOn-'tAkt-stor-nIs
buks	'bYks
hoofddinosaurus	'hov-di-no-sA+-rYs
preiplant	'prE+-plAnt
omwentelingssnelheid	'Om-wEn-t@-lIN-snEl-hE+t
eekhoren	'ek-ho-r@
waterpassing	'wa-t@r-pA-sIN
drugafnemer	dry-GAf-'ne-m@r
informatietheorie	In-fOr-'ma-tsi-te-jo-ri
zesenveertighonderd	'ze-z@n-ver-t@x-hOn-d@rt
aroma	a-'ro-ma
koninginnenkroon	ko-nI-'NI-n@-kron
kruissleutel	'krY+-sl2-t@l
flitslamp	'flIts-lAmp
overdekking	o-v@r-'dE-kIN
handvol	'hAnt-fOl
mejuffrouw	m@-'jY-frA+w
bedevaartganger	'be-d@-vart-xA-N@r
leskeuken	'lEs-k2-k@
stortbelasting	'stOrd-b@-lAs-tIN
doopkaars	'dop-kars
tijdregeling	'tE+d-re-G@-lIN
andragoog	An-dra-'Gox
zakcomputer	'zA-kOm-py-t@r
woordmens	'wort-mEns
ma&ccedil;onnerie	ma-sO-n@-'ri
stofthee	'stOf-te
hechtvezel	'hExt-fe-z@l
diascoop	di-ja-'skop
standvastigheid	stAnt-'fAs-t@x-hE+t
ventilator	vEn-ti-'la-tOr
havenplaats	'ha-v@m-plats
sire	'si-r@
kolenhak	'ko-l@-hAk
horenmuziek	'ho-r@-my-zik
serieproductie	'se-ri-pro-dYk-si
burin	by-'rIn
bierkaart	'bir-kart
vrouwenvriendschap	'vrA+-w@-vrint-sxAp
onvrijheid	On-'vrE+-hE+t
stemra-registratie	'stem-ra-re-GIs-'trat-si
input	'Im-put
winkelnering	'wIN-k@l-ne-rIN
eindronde	'E+nd-rOn-d@
spellingfreak	'spE-lIN-fre-jAk
erfsmet	'Erf-smEt
laadklep	'lat-klEp
kleefpleister	'klef-plE+s-t@r
zigeunervrouw	zi-'G2-n@r-vrA+w
oud-minister	A+d-mi-'nIs-t@r
samenzweringstheorie	'sa-m@n-zwe-rINs-te-jo-ri
leisteenolie	'lE+-sten-o-li
ballonvaart	bA-'lOn-vart
proefopstelling	'pru-fOp-stE-lIN
koepolder	'ku-pOl-d@r
tarievenlijst	ta-'ri-v@n-lE+st
giftwijk	'xIft-wE+k
kadraaier	ka-'dra-j@r
kieming	'ki-mIN
espressokoffie	Es-'prE-so-kO-fi
inhoudsbepaling	'In-hA+dz-b@-pa-lIN
zuivelinspectie	'zY+-v@l-In-spEk-si
stadswachter	'stAts-wAx-t@r
gba-wet	xe-be-'a-'wEt
tweederangsburger	'twe-d@-rANz-bYr-G@r
roetschade	'rut-sxa-d@
verhuizer	v@r-'hY+-z@r
kwellage	kwE-'la-Z@
hanggeranium	'hAN-G@-ra-ni-jYm
bedrijfsarts	b@-'drE+fs-Arts
assurantie	A-sy-'rAn-si
cultuurgewoonte	kYl-'tyr-G@-won-t@
onderkaak	'On-d@r-kak
salpeterkoek	sAl-'pe-t@r-kuk
noodweer	'nod-wer
reservelucht	r@-'zEr-v@-lYxt
zonnevis	'zO-n@-vIs
microfauna	'mi-kro-fA+-na
beschermgodin	b@-'sxErm-Go-dIn
afsteking	'Af-ste-kIN
hennepolie	'hE-n@p-o-li
consensus	kOn-'sEn-zYs
vrijzinnigheid	vrE+-'zI-n@x-hE+t
spijkerboor	'spE+-k@r-bor
ondergang	'On-d@r-GAN
meetstok	'met-stOk
programcommissie	pro-'GrAm-kO-mI-si
nobelheid	'no-b@l-hE+t
glasparty	'xlAs-pAr-ti
scheepsbouwactiviteit	'sxepz-bA+-wAk-ti-vi-tE+t
pijpenlade	'pE+-p@-la-d@
bomenbuurt	'bo-m@m-byrt
bierlucht	'bir-lYxt
haarversteviger	'har-v@r-ste-v@-G@r
haantjepik	han-tj@-'pIk
boerenkaffer	bu-r@-'kA-f@r
ondernemingszin	'On-d@r-ne-mIN-sIn
vaklerares	'vAk-le-ra-rEs
menopauze	'me-no-pA+-z@
roede	'ru-d@
houtakker	'hA+t-A-k@r
godsverering	'xOts-f@r-e-rIN
hangoortafel	'hAN-or-ta-f@l
hofjesjuffrouw	'hOf-j@s-jY-frA+w
zultlippen	'zYlt-lI-p@
parapluplant	pa-ra-'ply-plAnt
landeigendom	'lAn-dE+-G@-ndOm
drankenshop	'drAN-k@-SOp
machtlijn	'mAxt-lE+n
vriestreiler	'vris-trE+-l@r
bloemenkas	'blu-m@-kAs
servicebalie	'sEr-vi-s@-ba-li
schrijnwerkster	'sxrE+n-wErk-st@r
beeldlijn	'beld-lE+n
vlasdraad	'vlAz-drat
shii-take	Si-ji-'ta-k@
synode	si-'no-d@
giftlozing	'xIft-lo-zIN
soloklasse	'so-lo-klA-s@
pulsimeter	pYl-si-'me-t@r
full-dress	'ful-drEs
slaapplek	'slap-lEk
groentebouillon	'xrun-t@-bul-jOn
eenpoter	'em-po-t@r
andersheid	'An-d@rs-hE+t
lijstduwer	'lE+s-dy-w@r
offday	'Ov-de
kapitein-vlieger	kA-pi-tE+n-'vli-G@r
ontwikkelingsmechanica	Ont-'wI-k@-lINs-me-xa-ni-ka
voogdes	voG-'dEs
deductie	de-'dYk-si
zijzak	'zE+-zAk
schapershond	'sxa-p@rs-hOnt
castratieangst	kAs-'tra-tsi-ANst
keizercultus	'kE+-z@r-kYl-tYs
standing	'stEn-dIN
antiquariaatsboekhandel	An-ti-kwa-ri-'jadz-buk-hAn-d@l
opsporingsfoto	'Op-spo-rINs-fo-to
popopera	'pOp-o-p@-ra
gewrichtsverandering	x@-'wrIxts-f@r-An-d@-rIN
karavansera	ka-ra-'vAn-se-ra
ochtendhulp	'Ox-tEnt-hYlp
zit	'zIt
eindnotering	'E+nd-no-te-rIN
concerncommunicatie	kOn-s@rN-kO-my-ni-'kat-si
directeur	di-rEk-'t2r
faience	fa-'jAn-s@
attitudewijziging	A-ti-'ty-d@-wE+-z@-GIN
lanthaniumreeks	lAn-'ta-ni-jYm-reks
tweespraak	'twe-sprak
buurtvriendin	'byrt-frin-dIn
kwartvleugel	'kwArt-fl2-G@l
boekheiden	'buk-hE+-d@
verdomhoek	v@r-'dOm-huk
artsenij	Art-s@-'nE+
voogd	'voxt
meerkabel	'mer-ka-b@l
familiefirma	fa-'mi-li-fIr-ma
pootvis	'pot-fIs
meesterstitel	'mes-t@rs-ti-t@l
borststem	'bOrst-stEm
veiligheidsketen	'vE+-l@x-hE+ts-ke-t@
bedkruik	'bEt-krY+k
inneming	'I-ne-mIN
keper	'ke-p@r
libero	'li-b@-ro
valkenkap	'vAl-k@-kAp
tentamen	tEn-'ta-m@
pasteluitvoering	'pAs-t@-lY+t-fu-rIN
guttapercha	gu-ta-'pEr-tSa
neusrug	'n2s-rYx
tierippie	'ti-rI-pi
praktijksituatie	prAk-'tE+k-si-ty-wa-tsi
registeraccountant	r@-'GIs-t@r-A-kA+n-t@nt
romancyclus	ro-'mAn-si-klYs
snepper	'snE-p@r
noenstond	'nun-stOnt
msn-discussie	Em-Es-'En-dIs-'kY-si
plagerij	pla-G@-'rE+
agrari&euml;r	A-'Gra-ri-j@r
taakafbakening	'ta-kAv-ba-k@-nIN
stormram	'stOrm-rAm
misslag	'mI-slAx
geloofsbeleving	x@-'lofz-b@-le-vIN
dagslaper	'dAx-sla-p@r
verspieder	v@r-'spi-d@r
functiepsychologie	'fYNk-si-psi-xo-lo-Gi
locus	'lo-kYs
beursbelasting	'b2rz-b@-lAs-tIN
bewindspersoon	b@-'wInts-p@r-son
atoomklok	a-'tom-klOk
opbergmap	'O-bErG-mAp
radio-omroeper	'ra-di-jo-Om-ru-p@r
declamatie	de-kla-'ma-tsi
bontkluis	'bOnt-klY+s
lommerd	'lO-m@rt
cultuurdeelname	kYl-'tyr-del-na-m@
telegraafdraad	te-l@-'Grav-drat
straatprostitutie	'strat-prOs-ti-ty-tsi
slippendrager	'slI-p@-dra-G@r
tarbot	'tAr-bOt
hydrofobie	hi-dro-fo-'bi
pentagoon	pEn-ta-'Gon
verbruiksco&ouml;peratie	v@r-'brY+ks-ko-wo-p@-ra-tsi
konijnenkeutel	ko-'nE+-n@-k2-t@l
zelfaanvaarding	'zElf-an-var-dIN
verbruikszaal	v@r-brY+k-'sal
id-kant	i-de-'kAnt
kalendermaand	ka-'lEn-d@r-mant
pracht	'prAxt
bio-genetica	'bi-jo-x@-'ne-ti-ka
koersfiets	'kurs-fits
custos	'kYs-tOs
poulain	pu-'lE~
trapezo&iuml;de	tra-pe-zo-'wi-d@
zomerbrief	zo-m@r-'brif
litho	'li-to
bloktijd	'blOk-tE+t
consolidatie	kOn-so-li-'da-tsi
stormschade	'stOrm-sxa-d@
klassenstrijd	'klA-s@-strE+t
frontpassage	'frOnt-pA-sa-Z@
stoelenmaker	'stu-l@-ma-k@r
afrikaan	a-fri-'kan
beroepstijd	b@-'rup-stE+t
gallicaan	xA-li-'kan
po&euml;tica	po-'we-ti-ka
zemelap	'ze-m@-lAp
elpee	El-'pe
microgolfoven	'mi-kro-GOlf-o-v@
kaasmarkt	'kas-mArkt
snarepijperij	sna-r@-pE+-p@-'rE+
poollucht	'po-lYxt
stadsvoogd	'stAts-foxt
zin	'zIn
nakermis	'na-kEr-mIs
truffelsaus	'trY-f@l-sA+s
plonsstok	'plOn-stOk
geluidsmuur	x@-'lY+ts-myr
handtelefoon	'hAn-te-l@-fon
blijgeestigheid	blE+-'Ges-t@x-hE+t
waarschijnlijkheidskromme	war-'sxE+n-l@k-hE+ts-krO-m@
klimwortel	'klIm-wOr-t@l
ontslagbeschermingsconstructie	Ont-slAG-b@-sxEr-mINs-kOns-'trYk-si
epidiascoop	e-pi-di-ja-'skop
boekenkamer	'bu-k@-ka-m@r
opsporing	'Op-spo-rIN
bijbelvertaling	'bE+-b@l-v@r-ta-lIN
belommering	b@-'lO-m@-rIN
woongroep	'woN-Grup
billijkheid	'bI-l@k-hE+t
regentaattijd	're-G@-nta-tE+t
speelgoedtelefoon	'spel-Gu-te-l@-fon
stookruimte	'stok-rY+m-t@
plaatsbegever	'pladz-b@-Ge-v@r
reality-overlevingssoap	re-ja-'lit-si-'o-v@r-le-vIN-so-wAp
tuinhoed	'tY+n-hut
pulsput	'pYls-pYt
honingraat	'ho-nIN-rat
stamtoon	'stAm-ton
smokerigheid	'smo-k@-r@x-hE+t
uitgaanstip	'Y+t-xan-stIp
aardwolf	'ard-wOlf
boerinnenkleding	bu-'rI-n@-kle-dIN
labrador	'la-bra-dOr
dissymmetrie	dI-si-me-'tri
m	'Em
galvanografie	xAl-va-no-Gra-'fi
backlijn	'bAk-lE+n
roemeni&euml;-zak	ru-'me-ni-j@-zAk
zevenkamp	'ze-v@N-kAmp
zendmogelijkheid	'zEnt-mo-G@-l@k-hE+t
klitvrucht	'klIt-frYxt
decimeter	'de-si-me-t@r
glasschilder	'xlA-sxIl-d@r
pillicht	pI-'lIxt
koeienmestlucht	'ku-j@-mEs-tlYxt
quisling	'kwIs-lIN
pedellenkamer	p@-'dE-l@-ka-m@r
snebbe	'snE-b@
ori&euml;nterend	o-ri-jEn-'te-r@nt
achtergrondgeruis	'Ax-t@r-GrOnt-x@-rY+s
borstvoeding	'bOrst-fu-dIN
heroverweging	'hEr-o-v@r-we-GIN
uitschulping	'Y+t-sxYl-pIN
hanentrede	'ha-n@-tre-d@
tarn	'tArn
laevulose	le-vy-'lo-z@
vereffenaarster	v@r-'E-f@-nar-st@r
interimaris	'In-t@-ri-ma-r@s
gar&ccedil;on	gAr-'sOn
koelmantel	'kul-mAn-t@l
steenzetter	'sten-zE-t@r
ziektekostenregeling	'zik-t@-kOs-t@n-re-G@-lIN
tailleuse	tA-'j2-s@
levensenergie	'le-v@s-e-nEr-Zi
finishdraad	'fI-n@S-drat
kunstgras	'kYnst-xrAs
woonplek	'wom-plEk
financi&euml;nminister	fi-nAn-'si-j@-mi-nIs-t@r
slamix	'sla-mIks
bureaudienst	by-'ro-dinst
vrijgezellentijd	vrE+-G@-'zE-l@-tE+t
dijkpaal	'dE+k-pal
rassenvermenging	'rA-s@-v@r-mE-NIN
androgynie	An-dro-Gi-'ni
buispost	'bY+s-pOst
hinkelaar	'hIN-k@-lar
weefselkweek	'wef-s@l-kwek
stapop	sta-'pOp
betjah	'bEt-ja
schouderbreuk	'sxA+-d@r-br2k
prentenatlas	'prEn-t@-At-lAs
kwijllap	'kwE+-lAp
tweelingzwangerschap	'twe-lIN-zwA-N@r-sxAp
kwestie	'kwEs-ti
brugbalans	'brYG-ba-lAns
aandelenoptie	'an-de-l@-Op-si
cli&euml;ntgerichtheid	kli-'jEnt-x@-rIxt-hE+t
strebertjestest	'stre-b@rt-j@s-tEst
broodkast	'brot-kAst
gravure	xra-'vy-r@
gestress	x@-'strEs
recreantencompetitie	rEk-re-jAn-t@N-kOm-p@-'tit-si
rangeerlocomotief	rAn-'Zer-lo-ko-mo-tif
douchebak	'duZ-bAk
feut	'f2t
schakelapparatuur	'sxa-k@l-A-pa-ra-tyr
oorworm	'or-wOrm
bodemcultuur	'bo-d@m-kYl-tyr
stijfte	'stE+f-t@
cystoscopie	kis-to-sko-'pi
schijterij	sxE+-t@-'rE+
dimschakelaar	'dIm-sxa-k@-lar
schachtbok	'sxAGd-bOk
lijkenpikker	'lE+-k@-pI-k@r
premieverzekering	'pre-mi-v@r-ze-k@-rIN
drie-nuloverwinning	'dri-ny-'lo-v@r-wI-nIN
mannelijkheid	'mA-n@-l@k-hE+t
apparatuurcomponent	A-pa-ra-'tyr-kOm-po-nEnt
fransisco	frAn-'sIs-ko
pendelraket	'pEn-d@l-ra-kEt
zenuwstoornis	'ze-nyw-stor-nIs
zetangel	'zEt-A-N@l
vluggerd	'vlY-G@rt
cultuurbarri&egrave;re	kYl-'tyr-bA-ri-jE:-r@
politie-nederland	po-'lit-si-'ne-d@r-lAnt
fietsenkelder	'fit-sEN-k@l-d@r
wapenroem	'wa-p@n-rum
succursale	sY-kYr-'sa-l@
kamelot	ka-m@-'lOt
stagedag	'sta-G@-dAx
artistiekeling	Ar-tIs-'ti-k@-lIN
klapperolie	'klA-p@r-o-li
bokskampioen	'bOks-kAm-pi-jun
onverdeeldheid	On-v@r-'delt-hE+t
kerkhervorming	'kErk-hEr-vOr-mIN
milieutherapie	mi-'lj2-te-ra-pi
goeierd	'xu-j@rt
eerherstel	'er-hEr-stEl
ionenpomp	i-'jo-n@-pOmp
boordtelegrafist	'bor-te-l@-Gra-fIst
quotisatie	kwo-ti-'za-tsi
cinemavoorstelling	'si-n@-ma-vor-stE-lIN
verhaalplicht	v@r-'hal-plIxt
kletsoor	klEts-'or
gossip	'gO-sIp
migrantenvrouw	'mIx-rAn-t@-vrA+w
blussing	'blY-sIN
onderwereld	'On-d@r-we-r@lt
taalinnovatie	ta-lI-no-'vat-si
hoofdkritiek	'hoft-kri-tik
vulkanologie	vYl-ka-no-lo-'Gi
paleontoloog	pa-le-jOn-to-'lox
achterdocht	'Ax-t@r-dOxt
brandbom	'brAnd-bOm
afgezonderdheid	'Af-x@-zOn-d@rt-hE+t
raamvertelling	'ram-v@r-tE-lIN
radiolyse	ra-di-jo-'li-z@
koningsadelaar	'ko-nINs-a-d@-lar
agogiek	a-Go-'Gik
basisvorm	'ba-z@s-fOrm
sperzieboon	'spEr-zi-bon
verwantschap	v@r-'wAnt-sxAp
genetkat	x@-'nEt-kAt
meetband	'med-bAnt
paraffine	pa-rA-'fi-n@
zichter	'zIx-t@r
schermpagina	'sxErm-pa-Gi-na
priv&eacute;-secretaresse	pri-'ve-'sEk-r@-ta-rE-s@
telefoonvergoeding	te-l@-'fon-v@r-Gu-dIN
zakenpost	'za-k@m-pOst
researchjournalistiek	re-se-jArG-Zur-na-lIs-'tik
televisieomroep	te-l@-'vi-zi-Om-rup
stokvoering	'stOk-fu-rIN
meetbank	'med-bANk
zuidpoolreiziger	zY+t-'pol-rE+-z@-G@r
aannemerij	a-ne-m@-'rE+
zomerdijk	'zo-m@r-dE+k
torture	tOr-'ty-r@
meestamper	'me-stAm-p@r
overlijdensadvertentie	o-v@r-'lE+-d@s-At-f@r-tEn-si
hongerklop	'hO-N@r-klOp
hoofdsteward	'hoft-stju-w@rt
brutering	bry-'te-rIN
sterftijd	'stErf-tE+t
terugrit	t@-'rYG-rIt
rinkel	'rIN-k@l
evenementenkalender	e-v@-n@-mEn-t@N-'ka-l@n-d@r
priv&eacute;-kwestie	pri-'ve-kwEs-ti
steenzetting	'sten-zE-tIN
kankerpati&euml;nt	'kAN-k@r-pA-SEnt
pleziertrein	pl@-'zir-trE+n
dodenduik	'do-d@n-dY+k
lotsbestemming	'lOdz-b@-stE-mIN
muurhaak	'myr-hak
uitgangshypothese	'Y+t-xANs-hi-po-te-z@
verantwoordelijkheidsrelatie	v@r-Ant-'wor-d@-l@k-hE+ts-r@-'la-tsi
noodzaak	'not-sak
brijnpomp	'brE+m-pOmp
slotrede	'slOt-re-d@
dennentak	'dE-n@-tAk
boedelceel	'bu-d@l-sel
keileem	'kE+-lem
schillenboer	'sxI-l@-bur
projectielantaren	pro-'jEk-si-lAn-ta-r@
kruimeldief	'krY+-m@l-dif
natuurkracht	na-'tyr-krAxt
philipstopman	phi-lIp-'stOp-mAn
omgevingsbezoedeling	'Om-Ge-vINz-b@-zu-d@-lIN
beta-kant	b@-'ta-'kAnt
betekenis	b@-'te-k@-nIs
hst-lijn	ha-Es-te-'lE+n
schrijftrant	'sxrE+f-trAnt
hymnus	'hIm-nYs
beroepsvereniging	b@-'rups-f@-re-n@-GIN
trefwoordencatalogus	'trEf-wor-d@-ka-ta-lo-GYs
galavoorstelling	'xa-la-vor-stE-lIN
gemeenschapsfunctie	x@-'men-sxAps-fYNk-si
strijk	'strE+k
oploper	'Op-lo-p@r
biljartstek	bIl-jArt-'stEk
wording	'wOr-dIN
pardoen	pAr-'dun
meniscusblessure	me-nIs-kYz-blE-'sy-r@
meesterachtigheid	mes-t@r-'Ax-t@x-hE+t
tweetaktmotor	'twe-tAkt-mo-tOr
jaarrekening	'ja-re-k@-nIN
voorstoel	'vor-stul
verdachtmaking	v@r-'dAxt-ma-kIN
toegangsmogelijkheid	'tu-GANs-mo-G@-l@k-hE+t
weerzin	'wer-zIn
dierenboerderij	'di-r@-bur-d@-rE+
inschrijving	'In-sxrE+-vIN
rouwkleding	'rA+w-kle-dIN
commandovlag	kO-'mAn-do-vlAx
steenhouwer	'sten-hA+-w@r
ziekenfondsraad	'zi-k@-fOnts-rat
benedenverdieping	b@-'ne-d@-v@r-di-pIN
zandgraverij	'zAnt-xra-v@-rE+
ode	'o-d@
hippietijd	hI-pi-'tE+t
goniometrie	xo-ni-jo-me-'tri
breukbelasting	'br2g-b@-lAs-tIN
kaft	'kAft
software	'sOft-wE:r
priority-sticker	pri-jo-'rit-si-'stI-kEr
stationsbeambte	stA-'tSOnz-b@-Am-t@
likeurstroop	li-'k2r-strop
lichaamscultus	'lI-xams-kYl-tYs
groepsreis	'xrups-rE+s
zaadstorting	'zat-stOr-tIN
pleitzaal	'plE+t-sal
boerenboter	'bu-r@-bo-t@r
ik-tent	'Ik-'tEnt
pedologie	pe-do-lo-'Gi
blikslagerswinkel	'blIk-sla-G@rs-wIN-k@l
koordzeep	'kort-sep
kennisneming	'kE-n@s-ne-mIN
galoppas	xa-'lO-pAs
zittribune	'zIt-ri-by-n@
bouwfraude	'bA+w-frA+-d@
schilderijententoonstelling	sxIl-d@-'rE+-j@-tEn-ton-stE-lIN
lolly	'lO-li
waterkracht	'wa-t@r-krAxt
scenery	se-n@-'ri
basisopstelling	'ba-z@s-Op-stE-lIN
installering	In-stA-'le-rIN
domtoren	'dOm-to-r@
tolmuur	'tOl-myr
beklimming	b@-'klI-mIN
boksmatch	'bOks-mEtS
kamppoort	'kAm-port
fleemtong	'flem-tON
nul-zesverbinding	'nYl-'zEs-f@r-bIn-dIN
drukvulling	'drYk-fY-lIN
afhangeling	'Af-hA-N@-lIN
proselietenmakerij	pro-z@-'li-t@-ma-k@-rE+
mantelmeeuw	'mAn-t@l-mew
keukenprins	'k2-k@p-rIns
kozakkenmuts	ko-'zA-k@-mYts
balladedichter	bA-'la-d@-dIx-t@r
basisvoorziening	'ba-z@s-for-zi-nIN
siem-vergadering	'sim-v@r-'Ga-d@-rIN
ns-directie	E-'nEs-di-rEk-si
germanomanie	xEr-ma-no-ma-'ni
abrikozenpit	A-bri-'ko-z@-pIt
gerstpellerij	xErst-pE-l@-'rE+
overwinningsvreugde	o-v@r-'wI-nINs-fr2G-d@
oma-figuur	'o-ma-fi-'Gyr
stoomcilinder	'stom-si-lIn-d@r
wereldklasse	'we-r@lt-klA-s@
sledehond	'sle-d@-hOnt
marlijn	'mAr-lE+n
weerstandsversterker	'wer-stAnts-f@r-stEr-k@r
telefooncabine	te-l@-'foN-ka-bi-n@
preoccupatie	pre-O-ky-'pa-tsi
bakskist	'bAks-kIst
all-informule	'Al-'In-fOr-my-l@
popcorn	'pOp-kOrn
aniline	a-ni-'li-n@
rondleidster	'rOn-tlE+t-stEr
mannenheerschappij	'mA-n@-her-sxA-pE+
verdoving	v@r-'do-vIN
oibibio-radio	o-wi-'bi-bi-jo-'ra-di-jo
meetwaarde	'met-war-d@
spleettrommel	'splet-rO-m@l
compressieslag	kOm-'prE-si-slAx
r&amp;b	A:r-Em-'bi
godsdiensthistorie	'xOdz-dinst-his-to-ri
lakjas	'lAk-jAs
prestatiebehoefte	prEs-'ta-tsi-b@-huf-t@
gewestregering	x@-wEs-tr@-'Ge-rIN
arbeidsvergunning	'Ar-bE+ts-f@r-GY-nIN
middeleninzet	'mI-d@-l@-nIn-zEt
bessemerpeer	'bE-s@-m@r-per
heibezem	'hE+-be-z@m
treinconducteur	'trE+N-kOn-dYk-t2r
puntkap	'pYnt-kAp
gasinstallatie	'xAs-In-stA-la-tsi
muggenzifter	'mY-G@-zIf-t@r
emoe	'e-mu
regelstrategie	're-G@ls-tra-te-Gi
moslimenclave	'mOs-lIm-EN-'kla-v@
mediene	me-'di-n@
doorschrapping	'dor-sxrA-pIN
jatmous	'jAt-mA+s
bekentenisliteratuur	b@-'kEn-t@-nIs-li-t@-ra-tyr
stootkracht	'stot-krAxt
handbrandspuit	'hAnd-brAnt-spY+t
bamispacht	'ba-mIs-pAxt
sloomheid	'slom-hE+t
viltstiftkrabbel	'vIlt-stIft-krA-b@l
assistent-trainer	A-sIs-'tEn-'tre-n@r
kruideniersgeest	krY+-d@-'nirs-xest
milieuheffing	mi-'lj2-hE-fIN
hongersaus	'hO-N@r-sA+s
wapensnijder	'wa-p@n-snE+-d@r
runensteen	'ry-n@-sten
dierendag	'di-r@-dAx
onderlaag	'On-d@r-lax
borstster	'bOrst-stEr
statenbond	'sta-t@-bOnt
zij	'zE+
theateropleiding	te-ja-t@-rOp-'lE+-dIN
nabehandeling	'na-b@-hAn-d@-lIN
metrage	me-'tra-Z@
leidingbreuk	'lE+-dIN-br2k
jonggezel	jON-G@-'zEl
metafrase	me-ta-'fra-z@
wereldmarktprijs	we-rElt-mArkt-'prE+s
aaszak	'a-sAk
bedrijfstakcode	b@-'drE+f-stA-ko-d@
fotobiologie	'fo-to-bi-jo-lo-Gi
zoeterigheid	'zu-t@-r@x-hE+t
vollerskuip	'vO-l@rs-kY+p
renunciatie	re-nYn-'Sa-tsi
troonpretendent	trom-pre-t@n-'dEnt
overwinteraarster	o-v@r-'wIn-t@-rar-st@r
voorgerecht	'vor-G@-rExt
zondagspreek	'zOn-dAxs-prek
viezerd	'vi-z@rt
anafoor	a-na-'for
protserigheid	'prOt-s@-r@x-hE+t
kalverziekte	'kAl-v@r-zik-t@
bokkinees	bO-ki-'nes
afroming	'Af-ro-mIN
fusiebank	fy-zi-'bANk
pater-overste	'pa-t@r-'o-v@r-st@
godsbode	'xOdz-bo-d@
wedereis	'we-d@r-E+s
internetzuil	'In-t@r-nEt-sY+l
staalindustrie	'stal-In-dYs-tri
lakenbereider	'la-k@m-b@-rE+-d@r
oertaal	'ur-tal
proefpreek	'pruf-prek
laskaar	lAs-'kar
mensheidsgeschiedenis	'mEns-hE+ts-x@-sxi-d@-nIs
aanslijking	'an-slE+-kIN
servicebereidheid	'sYr-v@z-b@-rE+t-hE+t
openbaarheid	o-p@m-'bar-hE+t
affectie	A-'fEk-si
bedrijfsvertaler	b@-'drE+fs-f@r-ta-l@r
sprinklerbeveiliging	'sprIN-klEr-b@-vE+-li-GIN
techniek	tEx-'nik
tuinslang	'tY+n-slAN
cineraria	si-n@-'ra-ri-ja
felonie	fe-lo-'ni
noodplan	'not-plAn
sleutelschacht	'sl2-t@l-sxAxt
ballo	'bA-lo
doelheffing	'dul-hE-fIN
